sysclk=62.000000 MHz, vco=744 MHz, fbdiv=62, pd1=4, pd2=3
sysclk=62.000000 MHz, vco=1116 MHz, fbdiv=93, pd1=6, pd2=3
sysclk=62.000000 MHz, vco=1488 MHz, fbdiv=124, pd1=6, pd2=4
sysclk=62.250000 MHz, vco=996 MHz, fbdiv=83, pd1=4, pd2=4
sysclk=62.285714 MHz, vco=1308 MHz, fbdiv=109, pd1=7, pd2=3
sysclk=62.400000 MHz, vco=624 MHz, fbdiv=52, pd1=5, pd2=2
sysclk=62.400000 MHz, vco=936 MHz, fbdiv=78, pd1=5, pd2=3
sysclk=62.400000 MHz, vco=1248 MHz, fbdiv=104, pd1=5, pd2=4
sysclk=62.400000 MHz, vco=1560 MHz, fbdiv=130, pd1=5, pd2=5
sysclk=62.500000 MHz, vco=1500 MHz, fbdiv=125, pd1=6, pd2=4
sysclk=62.571429 MHz, vco=876 MHz, fbdiv=73, pd1=7, pd2=2
sysclk=62.666667 MHz, vco=564 MHz, fbdiv=47, pd1=3, pd2=3
sysclk=62.666667 MHz, vco=1128 MHz, fbdiv=94, pd1=6, pd2=3
sysclk=62.857143 MHz, vco=1320 MHz, fbdiv=110, pd1=7, pd2=3
sysclk=62.880000 MHz, vco=1572 MHz, fbdiv=131, pd1=5, pd2=5
sysclk=63.000000 MHz, vco=504 MHz, fbdiv=42, pd1=4, pd2=2
sysclk=63.000000 MHz, vco=756 MHz, fbdiv=63, pd1=6, pd2=2
sysclk=63.000000 MHz, vco=756 MHz, fbdiv=63, pd1=4, pd2=3
sysclk=63.000000 MHz, vco=1008 MHz, fbdiv=84, pd1=4, pd2=4
sysclk=63.000000 MHz, vco=1260 MHz, fbdiv=105, pd1=5, pd2=4
sysclk=63.000000 MHz, vco=1512 MHz, fbdiv=126, pd1=6, pd2=4
sysclk=63.200000 MHz, vco=948 MHz, fbdiv=79, pd1=5, pd2=3
sysclk=63.333333 MHz, vco=1140 MHz, fbdiv=95, pd1=6, pd2=3
sysclk=63.360000 MHz, vco=1584 MHz, fbdiv=132, pd1=5, pd2=5
sysclk=63.428571 MHz, vco=444 MHz, fbdiv=37, pd1=7, pd2=1
sysclk=63.428571 MHz, vco=888 MHz, fbdiv=74, pd1=7, pd2=2
sysclk=63.428571 MHz, vco=1332 MHz, fbdiv=111, pd1=7, pd2=3
sysclk=63.500000 MHz, vco=1524 MHz, fbdiv=127, pd1=6, pd2=4
sysclk=63.600000 MHz, vco=636 MHz, fbdiv=53, pd1=5, pd2=2
sysclk=63.600000 MHz, vco=1272 MHz, fbdiv=106, pd1=5, pd2=4
sysclk=63.750000 MHz, vco=1020 MHz, fbdiv=85, pd1=4, pd2=4
sysclk=63.840000 MHz, vco=1596 MHz, fbdiv=133, pd1=5, pd2=5
sysclk=64.000000 MHz, vco=576 MHz, fbdiv=48, pd1=3, pd2=3
sysclk=64.000000 MHz, vco=768 MHz, fbdiv=64, pd1=6, pd2=2
sysclk=64.000000 MHz, vco=768 MHz, fbdiv=64, pd1=4, pd2=3
sysclk=64.000000 MHz, vco=960 MHz, fbdiv=80, pd1=5, pd2=3
sysclk=64.000000 MHz, vco=1152 MHz, fbdiv=96, pd1=6, pd2=3
sysclk=64.000000 MHz, vco=1344 MHz, fbdiv=112, pd1=7, pd2=3
sysclk=64.000000 MHz, vco=1536 MHz, fbdiv=128, pd1=6, pd2=4
sysclk=64.200000 MHz, vco=1284 MHz, fbdiv=107, pd1=5, pd2=4
sysclk=64.285714 MHz, vco=900 MHz, fbdiv=75, pd1=7, pd2=2
sysclk=64.500000 MHz, vco=516 MHz, fbdiv=43, pd1=4, pd2=2
sysclk=64.500000 MHz, vco=1032 MHz, fbdiv=86, pd1=4, pd2=4
sysclk=64.500000 MHz, vco=1548 MHz, fbdiv=129, pd1=6, pd2=4
sysclk=64.571429 MHz, vco=1356 MHz, fbdiv=113, pd1=7, pd2=3
sysclk=64.666667 MHz, vco=1164 MHz, fbdiv=97, pd1=6, pd2=3
sysclk=64.800000 MHz, vco=648 MHz, fbdiv=54, pd1=5, pd2=2
sysclk=64.800000 MHz, vco=972 MHz, fbdiv=81, pd1=5, pd2=3
sysclk=64.800000 MHz, vco=1296 MHz, fbdiv=108, pd1=5, pd2=4
sysclk=65.000000 MHz, vco=780 MHz, fbdiv=65, pd1=6, pd2=2
sysclk=65.000000 MHz, vco=780 MHz, fbdiv=65, pd1=4, pd2=3
sysclk=65.000000 MHz, vco=1560 MHz, fbdiv=130, pd1=6, pd2=4
sysclk=65.142857 MHz, vco=456 MHz, fbdiv=38, pd1=7, pd2=1
sysclk=65.142857 MHz, vco=912 MHz, fbdiv=76, pd1=7, pd2=2
sysclk=65.142857 MHz, vco=1368 MHz, fbdiv=114, pd1=7, pd2=3
sysclk=65.250000 MHz, vco=1044 MHz, fbdiv=87, pd1=4, pd2=4
sysclk=65.333333 MHz, vco=588 MHz, fbdiv=49, pd1=3, pd2=3
sysclk=65.333333 MHz, vco=1176 MHz, fbdiv=98, pd1=6, pd2=3
sysclk=65.400000 MHz, vco=1308 MHz, fbdiv=109, pd1=5, pd2=4
sysclk=65.500000 MHz, vco=1572 MHz, fbdiv=131, pd1=6, pd2=4
sysclk=65.600000 MHz, vco=984 MHz, fbdiv=82, pd1=5, pd2=3
sysclk=65.714286 MHz, vco=1380 MHz, fbdiv=115, pd1=7, pd2=3
sysclk=66.000000 MHz, vco=528 MHz, fbdiv=44, pd1=4, pd2=2
sysclk=66.000000 MHz, vco=660 MHz, fbdiv=55, pd1=5, pd2=2
sysclk=66.000000 MHz, vco=792 MHz, fbdiv=66, pd1=6, pd2=2
sysclk=66.000000 MHz, vco=792 MHz, fbdiv=66, pd1=4, pd2=3
sysclk=66.000000 MHz, vco=924 MHz, fbdiv=77, pd1=7, pd2=2
sysclk=66.000000 MHz, vco=1056 MHz, fbdiv=88, pd1=4, pd2=4
sysclk=66.000000 MHz, vco=1188 MHz, fbdiv=99, pd1=6, pd2=3
sysclk=66.000000 MHz, vco=1320 MHz, fbdiv=110, pd1=5, pd2=4
sysclk=66.000000 MHz, vco=1584 MHz, fbdiv=132, pd1=6, pd2=4
sysclk=66.285714 MHz, vco=1392 MHz, fbdiv=116, pd1=7, pd2=3
sysclk=66.400000 MHz, vco=996 MHz, fbdiv=83, pd1=5, pd2=3
sysclk=66.500000 MHz, vco=1596 MHz, fbdiv=133, pd1=6, pd2=4
sysclk=66.600000 MHz, vco=1332 MHz, fbdiv=111, pd1=5, pd2=4
sysclk=66.666667 MHz, vco=600 MHz, fbdiv=50, pd1=3, pd2=3
sysclk=66.666667 MHz, vco=1200 MHz, fbdiv=100, pd1=6, pd2=3
sysclk=66.750000 MHz, vco=1068 MHz, fbdiv=89, pd1=4, pd2=4
sysclk=66.857143 MHz, vco=468 MHz, fbdiv=39, pd1=7, pd2=1
sysclk=66.857143 MHz, vco=936 MHz, fbdiv=78, pd1=7, pd2=2
sysclk=66.857143 MHz, vco=1404 MHz, fbdiv=117, pd1=7, pd2=3
sysclk=67.000000 MHz, vco=804 MHz, fbdiv=67, pd1=6, pd2=2
sysclk=67.000000 MHz, vco=804 MHz, fbdiv=67, pd1=4, pd2=3
sysclk=67.200000 MHz, vco=672 MHz, fbdiv=56, pd1=5, pd2=2
sysclk=67.200000 MHz, vco=1008 MHz, fbdiv=84, pd1=5, pd2=3
sysclk=67.200000 MHz, vco=1344 MHz, fbdiv=112, pd1=5, pd2=4
sysclk=67.333333 MHz, vco=1212 MHz, fbdiv=101, pd1=6, pd2=3
